Datetaken,Longitude,Latitude,City,year
2011-06-02 16:33:02,-74.092667,4.633,bogota,2011
2011-08-15 17:32:59,-74.086303,4.624676999999999,bogota,2011
2011-02-07 22:42:00,-74.066025,4.685212,bogota,2011
2011-03-08 12:03:22,-74.066117,4.685268,bogota,2011
2011-08-15 11:02:33,-74.13424,4.693735,bogota,2011
2011-05-20 07:25:22,-74.061584,4.741873,bogota,2011
2011-12-02 13:43:26,-74.08802,4.633916,bogota,2011
2011-05-30 15:49:55,-74.066,4.6036660000000005,bogota,2011
2011-04-02 16:07:42,-74.14278,4.698504,bogota,2011
2011-07-06 19:32:37,-74.05455699999999,4.606925,bogota,2011
2011-02-19 08:51:25,-74.054653,4.606561,bogota,2011
2011-03-26 12:39:27,-74.05451,4.60653,bogota,2011
2011-06-27 12:28:15,-74.054675,4.606936,bogota,2011
2011-08-14 17:18:49,-74.05449200000001,4.6692160000000005,bogota,2011
2011-02-19 13:49:41,-74.054827,4.668701,bogota,2011
2011-04-17 14:12:26,-74.06825699999999,4.647914,bogota,2011
2011-06-27 12:12:21,-74.07092,4.595325,bogota,2011
2011-02-20 14:58:00,-74.070725,4.595994999999999,bogota,2011
2011-04-16 14:23:10,-74.059031,4.649294,bogota,2011
2011-05-24 14:28:47,-74.091453,4.625532,bogota,2011
2011-05-29 06:50:43,-74.092998,4.635371,bogota,2011
2011-03-14 20:38:53,-74.092483,4.635542,bogota,2011
2011-05-11 21:00:23,-74.080038,4.588349,bogota,2011
2011-02-15 15:37:38,-74.065436,4.627121,bogota,2011
2011-02-06 12:09:49,-74.06666700000001,4.617222,bogota,2011
2011-10-12 17:22:47,-74.091796,4.6144110000000005,bogota,2011
2011-05-29 13:33:18,-74.077388,4.649294,bogota,2011
2011-10-12 16:08:40,-74.071412,4.601578,bogota,2011
2011-05-07 14:32:30,-74.071578,4.60158,bogota,2011
2011-06-30 20:08:22,-74.073826,4.5975779999999995,bogota,2011
2011-07-23 18:20:53,-74.073987,4.597642,bogota,2011
2011-03-14 08:24:58,-74.073673,4.5973120000000005,bogota,2011
2011-07-18 12:42:13,-74.07365,4.597758,bogota,2011
2011-02-06 15:10:17,-74.06444499999999,4.6175,bogota,2011
2011-05-19 23:24:24,-74.08081,4.6308370000000005,bogota,2011
2011-06-11 11:13:54,-74.08081,4.631179,bogota,2011
2011-02-16 18:09:46,-74.06034,4.668245,bogota,2011
2011-12-02 20:41:51,-74.060211,4.6683069999999995,bogota,2011
2011-05-17 11:43:45,-74.096603,4.632548,bogota,2011
2011-04-30 11:50:34,-74.054889,4.665227,bogota,2011
2011-05-15 12:50:41,-74.082183,4.609962,bogota,2011
2011-02-25 10:02:25,-74.066334,4.600833000000001,bogota,2011
2011-03-09 15:50:13,-74.05583299999999,4.656333,bogota,2011
2011-02-24 15:47:25,-74.05536,4.656569,bogota,2011
2011-06-01 22:23:35,-74.13,4.672,bogota,2011
2011-04-14 15:50:33,-74.070188,4.615608,bogota,2011
2011-03-14 18:35:20,-74.069824,4.615437,bogota,2011
2011-08-14 18:47:49,-74.055308,4.607283,bogota,2011
2011-10-12 14:28:48,-74.074974,4.624676999999999,bogota,2011
2011-05-03 14:07:08,-74.06483399999999,4.6275,bogota,2011
2011-02-25 16:10:36,-74.06280699999999,4.601662999999999,bogota,2011
2011-08-09 04:41:50,-74.062986,4.650449,bogota,2011
2011-02-06 11:24:30,-74.067223,4.615833,bogota,2011
